Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
ONDEP.GR1.48,48.4909225523792,7.28814898583698,718.824889,2024-09-05T11:30:56.770,6829786.406151,1016689.642823,670.084522
ONDEP.GR1.47,48.4909330321108,7.28816178155779,718.715225,2024-09-05T11:30:32.190,6829787.62069,1016690.523652,669.974905
ONDEP.GR1.46,48.4909448561737,7.28817372021365,718.548723,2024-09-05T11:30:06.440,6829788.981008,1016691.333135,669.808456
ONDEP.GR1.45,48.4909541459942,7.28818713504636,718.420419,2024-09-05T11:29:50.430,6829790.065954,1016692.266821,669.680197
ONDEP.GR1.44,48.4909644636054,7.28819949563725,718.250175,2024-09-05T11:29:34.380,6829791.260753,1016693.116523,669.509999
ONDEP.GR1.43,48.49097514337,7.28821204599739,718.056744,2024-09-05T11:29:16.770,6829792.496511,1016693.978041,669.316618
ONDEP.GR1.42,48.4909856159321,7.28822492454599,717.871425,2024-09-05T11:28:55.300,6829793.710587,1016694.865023,669.131349
ONDEP.GR1.41,48.4909961581184,7.2882369509155,717.70054,2024-09-05T11:28:40.960,6829794.928973,1016695.68871,668.960509
ONDEP.GR1.40,48.4910068670053,7.28824880544416,717.548904,2024-09-05T11:28:20.170,6829796.165173,1016696.498713,668.808923
ONDEP.GR1.39,48.4910174153854,7.28826194324571,717.372091,2024-09-05T11:28:03.460,6829797.388705,1016697.404363,668.632156
ONDEP.GR1.38,48.4910279789662,7.28827438647791,717.146705,2024-09-05T11:27:46.490,6829798.611138,1016698.258677,668.406819
ONDEP.GR1.37,48.49103827836,7.28828687251618,717.098008,2024-09-05T11:27:28.570,6829799.804419,1016699.117742,668.358168
ONDEP.GR1.36,48.4910491847975,7.28829906950862,716.959203,2024-09-05T11:27:05.300,6829801.063921,1016699.951818,668.219412
ONDEP.GR1.35,48.491059376186,7.28831212424252,716.865737,2024-09-05T11:26:40.090,6829802.247495,1016700.853492,668.125997
ONDEP.GR1.34,48.4910697038291,7.28832457136066,716.697144,2024-09-05T11:26:20.710,6829803.443756,1016701.709514,667.957449
