FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
15.778975,40.795414,-11.000000,0.080000,12.000000,0.750000
14.455556,66.528877,-9.000000,0.080000,10.500000,0.750000
13.471696,17.451302,-8.000000,0.040000,9.000000,0.750000
11.503975,0.087080,-6.000000,0.020000,7.500000,0.750000
9.517659,36.935268,-5.000000,0.000000,6.000000,0.750000
-2.838209,16.643169,-3.000000,0.050000,4.500000,0.750000
-9.016143,94.133278,-2.000000,0.010000,3.000000,0.750000
-17.309999,2.105694,0.000000,0.000000,0.000000,0.750000
-17.309999,9.247482,0.000000,0.050000,1.500000,0.750000
50.049999,90.784569,-68.000000,5.520000,70.500000,2.250000
49.726471,95.940506,-66.000000,5.410000,69.000000,2.250000
49.564705,88.976784,-65.000000,5.250000,67.500000,2.250000
49.098625,97.662773,-63.000000,5.120000,66.000000,2.250000
48.342899,95.818436,-62.000000,4.950000,64.500000,2.250000
46.831451,97.568352,-60.000000,4.750000,63.000000,2.250000
46.310001,98.047493,-59.000000,4.570000,61.500000,2.250000
46.310001,99.008850,-57.000000,4.400000,60.000000,2.250000
46.310001,86.618126,-56.000000,4.250000,58.500000,2.250000
46.310001,96.217636,-54.000000,4.070000,57.000000,2.250000
46.310001,98.116882,-53.000000,3.840000,55.500000,2.250000
44.543251,96.357559,-51.000000,3.800000,54.000000,2.250000
43.439034,91.935425,-50.000000,3.660000,52.500000,2.250000
41.230595,76.488373,-48.000000,3.560000,51.000000,2.250000
40.126377,68.456573,-47.000000,3.390000,49.500000,2.250000
37.917942,50.331032,-45.000000,3.270000,48.000000,2.250000
37.307274,53.840710,-44.000000,3.100000,46.500000,2.250000
36.926811,43.943619,-42.000000,3.000000,45.000000,2.250000
36.736580,49.854103,-41.000000,2.860000,43.500000,2.250000
36.356117,64.507088,-39.000000,2.750000,42.000000,2.250000
36.165886,78.533630,-38.000000,2.650000,40.500000,2.250000
35.377678,89.993546,-36.000000,2.390000,39.000000,2.250000
34.650940,91.800568,-35.000000,2.210000,37.500000,2.250000
33.197464,92.857300,-33.000000,2.110000,36.000000,2.250000
32.470726,95.940338,-32.000000,1.990000,34.500000,2.250000
31.017248,93.328163,-30.000000,1.890000,33.000000,2.250000
30.290510,98.001686,-29.000000,1.750000,31.500000,2.250000
28.837032,98.756256,-27.000000,1.620000,30.000000,2.250000
28.124935,92.315079,-26.000000,1.450000,28.500000,2.250000
26.724699,95.922813,-24.000000,1.360000,27.000000,2.250000
26.024580,65.772926,-23.000000,1.310000,25.500000,2.250000
24.624344,84.061722,-21.000000,1.130000,24.000000,2.250000
23.924227,32.012062,-20.000000,0.920000,22.500000,2.250000
22.543032,53.978580,-18.000000,0.710000,21.000000,2.250000
22.080929,3.269835,-17.000000,0.600000,19.500000,2.250000
21.156723,3.907750,-15.000000,0.430000,18.000000,2.250000
20.694620,0.205364,-14.000000,0.310000,16.500000,2.250000
20.690001,0.042883,-12.000000,0.250000,15.000000,2.250000
20.674082,0.208644,-11.000000,0.150000,13.500000,2.250000
19.082258,1.457610,-9.000000,0.080000,12.000000,2.250000
18.286346,1.178292,-8.000000,0.080000,10.500000,2.250000
13.923781,2.374235,-6.000000,0.040000,9.000000,2.250000
10.986103,70.998154,-5.000000,0.020000,7.500000,2.250000
1.725354,89.630112,-3.000000,0.000000,6.000000,2.250000
-2.352451,91.825195,-2.000000,0.050000,4.500000,2.250000
-8.674000,99.991287,0.000000,0.050000,1.500000,2.250000
-8.674000,78.598976,0.000000,0.010000,3.000000,2.250000
-8.582000,62.648170,2.000000,0.000000,0.000000,2.250000
46.450001,97.819687,-66.000000,5.520000,70.500000,3.750000
48.052120,0.595286,-65.000000,5.410000,69.000000,3.750000
51.256367,83.015198,-63.000000,5.250000,67.500000,3.750000
52.433079,60.132099,-62.000000,5.120000,66.000000,3.750000
51.938114,74.565109,-60.000000,4.950000,64.500000,3.750000
51.690632,1.274064,-59.000000,4.750000,63.000000,3.750000
51.195667,86.768982,-57.000000,4.570000,61.500000,3.750000
50.948189,98.399384,-56.000000,4.400000,60.000000,3.750000
50.251366,91.982704,-54.000000,4.250000,58.500000,3.750000
49.846180,89.358482,-53.000000,4.070000,57.000000,3.750000
49.035812,75.843094,-51.000000,3.840000,55.500000,3.750000
48.630627,79.954399,-50.000000,3.800000,54.000000,3.750000
47.820259,87.883316,-48.000000,3.660000,52.500000,3.750000
46.842255,93.353065,-47.000000,3.560000,51.000000,3.750000
44.825951,99.506264,-45.000000,3.390000,49.500000,3.750000
43.817799,98.370705,-44.000000,3.270000,48.000000,3.750000
41.801495,99.726234,-42.000000,3.100000,46.500000,3.750000
40.793343,96.311813,-41.000000,3.000000,45.000000,3.750000
