,LINE,STATION,ALT.,GRAV,SD,TILTX,TILTY,TEMP,TIDE,DUR,REJ,TIME,DEC.TIME+DATE,TERRAIN,DATE,time diff,type
0,0,0,"35,9373","4508,4269999999997","0,019",-4,"-1,3","-0,73","0,02",60,11,8:32:09,"45505,355089999997",0,02/09/24,,"base 1, lundi matin"
1,0,0,"34,960700000000003","4508,43","0,010999999999999999","-4,0999999999999996","-2,4","-0,74","0,025000000000000001",60,8,8:41:59,"45505,36191",0,02/09/24,0:09:50,
2,0,0,"36,669699999999999","4508,4319999999998001","0,010999999999999999",-1,"-2,5","-0,74","0,033000000000000002",60,10,8:56:11,"45505,371749999998",0,02/09/24,0:14:12,tilt
3,0,0,"36,669699999999999","4508,433","0,0099999999999999999998","-0,1","-2,6","-0,74","0,034000000000000002",60,0,8:57:21,"45505,372560000003",0,02/09/24,0:01:10,
4,0,0,"36,425600000000003","4508,4319999999998001","0,0089999999999999993","0,6","-2,8","-0,74","0,034000000000000002",60,0,8:58:26,"45505,373310000003",0,02/09/24,0:01:05,
5,0,0,"36,669699999999999","4508,4340000000002","0,0099999999999999999998","1,4","-3,1","-0,74","0,035000000000000003",60,0,8:59:31,"45505,374060000002",0,02/09/24,0:01:05,
6,0,0,"36,425600000000003","4508,4340000000002","0,0089999999999999993","2,2999999999999998","-3,5","-0,74","0,035999999999999997",60,0,9:00:36,"45505,374819999997",0,02/09/24,0:01:05,
7,0,0,"36,425600000000003","4508,4340000000002","0,0080000000000000002","3,6","-3,3","-0,74","0,035999999999999997",60,52,9:01:41,"45505,375569999997",0,02/09/24,0:01:05,
8,0,0,"32,030999999999999","4508,4390000000003","0,044999999999999998","3,2",-2,"-0,62","0,073999999999999996",60,28,10:55:52,"45505,454729999998",0,02/09/24,1:54:11,"base 2, pause midi"
9,0,0,"32,030999999999999","4508,4409999999998","0,014999999999999999","3,3","-2,9","-0,61","0,073999999999999996",60,4,10:57:02,"45505,455540000003",0,02/09/24,0:01:10,
10,0,0,"32,030999999999999","4508,4390000000003","0,0070000000000000001",3,"-4,5","-0,6","0,073999999999999996",60,0,10:58:07,"45505,456290000002",0,02/09/24,0:01:05,
11,0,0,"33,007599999999996","4508,4380000000001","0,0060000000000000001","-0,1","-1,1000000000000001","-0,66","0,073999999999999996",60,0,11:11:02,"45505,465250000001",0,02/09/24,0:12:55,tilt
12,0,0,"33,007599999999996","4508,4390000000003","0,0080000000000000002",0,"-1,4","-0,66","0,073999999999999996",60,0,11:12:12,"45505,466059999999",0,02/09/24,0:01:10,
13,0,0,"33,2517","4508,4390000000003","0,0080000000000000002","0,1","-1,9","-0,67","0,073999999999999996",60,0,11:13:17,"45505,466809999998",0,02/09/24,0:01:05,
14,0,0,"33,2517","4508,4390000000003","0,0080000000000000002",0,"-2,2000000000000002","-0,67","0,073999999999999996",60,0,11:14:22,"45505,467559999997",0,02/09/24,0:01:05,
15,0,0,"33,495899999999999","4508,4390000000003","0,0080000000000000002","-0,9",-2,"-0,67","0,073999999999999996",60,7,11:15:27,"45505,468309999997",0,02/09/24,0:01:05,
16,0,0,"33,74","4508,4390000000003","0,014","-2,2000000000000002","-1,7","-0,67","0,073999999999999996",60,4,11:16:32,"45505,469060000003001",0,02/09/24,0:01:05,
17,0,0,"33,74","4508,4309999999996","0,033000000000000002","-3,9","-1,4","-0,68","0,073999999999999996",60,26,11:17:37,"45505,469810000002",0,02/09/24,0:01:05,
18,0,0,"33,984200000000001","4508,4380000000001","0,0070000000000000001","-4,7","-1,6","-0,68","0,073999999999999996",60,0,11:18:42,"45505,470569999998",0,02/09/24,0:01:05,
19,0,0,"34,960700000000003","4508,4390000000003","0,0060000000000000001","-4,4000000000000004","-3,3","-0,69","0,073999999999999996",60,0,11:25:12,"45505,47507",0,02/09/24,0:06:30,
20,0,0,"35,204900000000002","4508,4380000000001","0,0070000000000000001","-3,6","-4,3","-0,69","0,073999999999999996",60,0,11:26:17,"45505,47582",0,02/09/24,0:01:05,
21,0,0,"34,960700000000003","4508,4399999999996","0,0060000000000000001","-2,7","-4,7","-0,7","0,073999999999999996",60,0,11:27:22,"45505,476569999999",0,02/09/24,0:01:05,
22,0,0,"34,960700000000003","4508,4399999999996","0,0089999999999999993","-1,9","-5,0999999999999996","-0,7","0,073999999999999996",60,0,11:28:27,"45505,477330000002",0,02/09/24,0:01:05,
23,0,0,"34,7166","4508,4440000000004","0,0060000000000000001","5,3","-9,1999999999999993","-0,72","0,072999999999999995",60,10,11:40:22,"45505,485589999997",0,02/09/24,0:11:55,
24,0,0,"33,984200000000001","4508,4430000000001999","0,0070000000000000001","0,8","-2,5","-0,72","0,070999999999999993997",60,0,11:52:37,"45505,494079999997",0,02/09/24,0:12:15,tilt
25,0,0,"33,984200000000001","4508,4440000000004","0,0060000000000000001",1,"-2,7","-0,72","0,070999999999999993997",60,0,11:53:47,"45505,494890000002",0,02/09/24,0:01:10,
26,0,0,"34,228299999999997","4508,442","0,0089999999999999993","1,2","-2,8","-0,72","0,070000000000000007",60,2,11:54:52,"45505,495640000001",0,02/09/24,0:01:05,
27,0,0,"34,228299999999997","4508,4430000000001999","0,014999999999999999","1,4",-3,"-0,72","0,070000000000000007",60,19,11:55:57,"45505,49639",0,02/09/24,0:01:05,
28,0,0,"34,228299999999997","4508,4440000000004","0,0080000000000000002","1,4","-3,1","-0,72","0,070000000000000007",60,0,11:57:02,"45505,497139999999",0,02/09/24,0:01:05,
29,0,0,"34,228299999999997","4508,4440000000004","0,0080000000000000002","1,6","-3,4","-0,70999999999999999998","0,070000000000000007",60,0,11:58:07,"45505,497889999999",0,02/09/24,0:01:05,
30,0,0,"33,984200000000001","4508,4440000000004","0,0060000000000000001","1,8","-3,8","-0,70999999999999999998","0,070000000000000007",60,0,11:59:12,"45505,498650000001",0,02/09/24,0:01:05,
31,0,0,"33,984200000000001","4508,4449999999997","0,0099999999999999999998",2,"-4,4000000000000004","-0,70999999999999999998","0,069000000000000006",60,0,12:00:17,"45505,499400000001",0,02/09/24,0:01:05,
32,0,0,"33,984200000000001","4508,4449999999997","0,0089999999999999993","2,2000000000000002","-4,5","-0,70999999999999999998","0,069000000000000006",60,0,12:01:22,"45505,50015",0,02/09/24,0:01:05,
33,0,0,"33,984200000000001","4508,4440000000004","0,0080000000000000002","2,5","-4,7","-0,70999999999999999998","0,069000000000000006",60,30,12:02:27,"45505,500899999999",0,02/09/24,0:01:05,
34,0,0,"33,984200000000001","4508,4449999999997","0,0070000000000000001","2,7","-4,9000000000000004","-0,70999999999999999998","0,068000000000000005",60,0,12:03:32,"45505,501649999998",0,02/09/24,0:01:05,
35,0,0,"33,984200000000001","4508,4449999999997","0,0070000000000000001","2,9","-5,0999999999999996","-0,70999999999999999998","0,068000000000000005",60,20,12:04:37,"45505,502399999998",0,02/09/24,0:01:05,
36,0,0,"33,984200000000001","4508,4449999999997","0,0070000000000000001","3,1","-5,3","-0,70999999999999999998","0,068000000000000005",60,0,12:05:42,"45505,503149999997",0,02/09/24,0:01:05,
37,0,0,"32,275199999999998","4508,4489999999996","0,057000000000000002","-0,8","-2,9","-0,64","0,060999999999999999",60,11,12:29:08,"45505,519399999997",0,02/09/24,0:23:26,"base 3, fin pause"
38,0,0,"32,030999999999999","4508,4549999999999","0,017999999999999999","-1,1000000000000001","-3,3","-0,64","0,060999999999999999",60,13,12:30:18,"45505,520210000002",0,02/09/24,0:01:10,
39,0,0,"31,786899999999999","4508,4560000000001","0,012","2,7","0,2","-0,64","0,058999999999999997",60,2,12:34:25,"45505,523060000000001",0,02/09/24,0:04:07,
40,0,0,"32,030999999999999","4508,4560000000001","0,010999999999999999","2,2000000000000002","0,2","-0,65","0,058999999999999997",60,2,12:35:35,"45505,523869999997",0,02/09/24,0:01:10,
41,0,0,"32,030999999999999","4508,4560000000001","0,010999999999999999","1,8",0,"-0,65","0,058000000000000003",60,0,12:36:40,"45505,524619999997",0,02/09/24,0:01:05,
42,0,0,"32,030999999999999","4508,4570000000003","0,02","1,3","0,1","-0,65","0,058000000000000003",60,10,12:37:45,"45505,525370000003",0,02/09/24,0:01:05,
43,0,0,"32,030999999999999","4508,4549999999999","0,0099999999999999999998","0,8","0,1","-0,66","0,057000000000000002",60,5,12:38:50,"45505,526120000001999",0,02/09/24,0:01:05,
44,0,0,"32,030999999999999","4508,4549999999999","0,012999999999999999","0,4","0,1","-0,66","0,057000000000000002",60,0,12:39:55,"45505,526879999998",0,02/09/24,0:01:05,
45,0,0,"32,275199999999998","4508,4570000000003","0,014","0,2",0,"-0,66","0,057000000000000002",60,1,12:41:00,"45505,527629999997",0,02/09/24,0:01:05,
46,0,0,"32,275199999999998","4508,4570000000003","0,0099999999999999999998","0,2",0,"-0,67","0,056000000000000001",60,48,12:42:05,"45505,528380000003",0,02/09/24,0:01:05,
47,0,0,"29,101400000000002","4508,4700000000000002","0,042000000000000003","-0,6","0,4","-0,52","-0,0050000000000000001",60,22,14:36:58,"45505,608030000003",0,02/09/24,1:54:53,"base 4, fin de journée"
48,0,0,"29,345500000000001","4508,4780000000001","0,023","-0,7","0,7","-0,51","-0,0050000000000000001",60,18,14:38:08,"45505,608840000000999",0,02/09/24,0:01:10,
49,0,0,"29,345500000000001","4508,4769999999999","0,0080000000000000002",-1,"0,9","-0,51","-0,0060000000000000001",60,1,14:39:13,"45505,60959",0,02/09/24,0:01:05,
50,0,0,"29,345500000000001","4508,4740000000002","0,017999999999999999","-1,4","1,1000000000000001","-0,51","-0,0070000000000000001",60,14,14:40:18,"45505,610339999999",0,02/09/24,0:01:05,
51,0,0,"29,345500000000001","4508,4740000000002","0,0089999999999999993","-1,7","1,1000000000000001","-0,52","-0,0070000000000000001",60,2,14:41:23,"45505,611089999999",0,02/09/24,0:01:05,
52,0,0,"29,589600000000001","4508,4750000000004","0,0089999999999999993",-2,"1,2","-0,53","-0,0080000000000000002",60,0,14:42:28,"45505,611839999998",0,02/09/24,0:01:05,
53,0,0,"29,589600000000001","4508,4759999999997","0,045999999999999999","-2,2999999999999998",2,"-0,54000000000000000002","-0,0089999999999999993",60,14,14:43:33,"45505,612589999997",0,02/09/24,0:01:05,
54,0,0,"24,706800000000001","4508,5330000000004","0,0089999999999999993","-0,6","-1,3","-0,59","-0,058000000000000003",60,0,6:54:11,"45506,287170000003",0,03/09/24,,"base 5, mardi matin"
55,0,0,"24,706800000000001","4508,5330000000004","0,0089999999999999993","-1,3","-1,8","-0,59","-0,058000000000000003",60,0,6:55:21,"45506,287980000001",0,03/09/24,0:01:10,
56,0,0,"24,951000000000001","4508,5320000000002","0,010999999999999999","-2,2999999999999998","-2,5","-0,6","-0,058000000000000003",60,0,6:56:26,"45506,288730000000001",0,03/09/24,0:01:05,
57,0,0,"25,1951","4508,5320000000002","0,012","-3,4","-3,2","-0,6","-0,057000000000000002",60,0,6:57:31,"45506,289479999999",0,03/09/24,0:01:05,
58,0,0,"25,439299999999999","4508,5320000000002","0,0080000000000000002","-4,5",-4,"-0,6","-0,056000000000000001",60,0,6:58:36,"45506,290229999999",0,03/09/24,0:01:05,
59,0,0,"25,439299999999999","4508,5299999999999998","0,014","-5,5","-4,5","-0,6","-0,056000000000000001",60,4,6:59:41,"45506,290979999998",0,03/09/24,0:01:05,
60,0,0,"25,927499999999998","4508,5320000000002","0,0080000000000000002","-6,4","-4,7","-0,6","-0,056000000000000001",60,0,7:00:46,"45506,291729999997",0,03/09/24,0:01:05,
61,0,0,"26,171700000000001","4508,5299999999999998","0,0080000000000000002","-7,3","-4,9000000000000004","-0,61","-0,055",60,0,7:01:51,"45506,292479999996",0,03/09/24,0:01:05,
62,0,0,"26,415800000000001","4508,5299999999999998","0,0070000000000000001","-8,8000000000000007",-5,"-0,61","-0,055",60,0,7:02:56,"45506,293230000003",0,03/09/24,0:01:05,
63,0,0,"33,007599999999996","4508,5309999999999","0,0080000000000000002","-0,2",-1,"-0,67","-0,042999999999999997",60,2,7:27:37,"45506,31035",0,03/09/24,0:24:41,tilt
64,0,0,"33,2517","4508,5249999999996","0,0099999999999999999998","0,4","-0,7","-0,67","-0,042000000000000003",60,22,7:28:47,"45506,311159999997",0,03/09/24,0:01:10,
65,0,0,"33,2517","4508,5320000000002","0,0080000000000000002","1,2","-0,4","-0,67","-0,042000000000000003",60,0,7:29:52,"45506,311909999996999",0,03/09/24,0:01:05,
