G1WE48E2.bin
         2.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
0
360
 2
0
4  8.00  0.00 32.00  0.00 16.00  0.00 24.00  0.00 1256.23 
4  8.00  0.00 26.00  0.00 14.00  0.00 20.00  0.00 1820.79 
4  8.00  0.00 20.00  0.00 12.00  0.00 16.00  0.00 3540.77 
4  8.00  0.00 14.00  0.00 10.00  0.00 12.00  0.00 5873.53 
4  10.00  0.00 94.00  0.00 38.00  0.00 66.00  0.00 653.60 
4  10.00  0.00 88.00  0.00 36.00  0.00 62.00  0.00 616.23 
4  10.00  0.00 82.00  0.00 34.00  0.00 58.00  0.00 569.43 
4  10.00  0.00 76.00  0.00 32.00  0.00 54.00  0.00 541.41 
4  10.00  0.00 70.00  0.00 30.00  0.00 50.00  0.00 606.21 
4  10.00  0.00 64.00  0.00 28.00  0.00 46.00  0.00 650.48 
4  10.00  0.00 58.00  0.00 26.00  0.00 42.00  0.00 681.97 
4  10.00  0.00 52.00  0.00 24.00  0.00 38.00  0.00 645.19 
4  10.00  0.00 46.00  0.00 22.00  0.00 34.00  0.00 660.21 
4  10.00  0.00 40.00  0.00 20.00  0.00 30.00  0.00 766.06 
4  10.00  0.00 34.00  0.00 18.00  0.00 26.00  0.00 1042.80 
4  10.00  0.00 28.00  0.00 16.00  0.00 22.00  0.00 1527.79 
4  10.00  0.00 22.00  0.00 14.00  0.00 18.00  0.00 2210.55 
4  10.00  0.00 16.00  0.00 12.00  0.00 14.00  0.00 4390.43 
4  12.00  0.00 90.00  0.00 38.00  0.00 64.00  0.00 625.80 
4  12.00  0.00 84.00  0.00 36.00  0.00 60.00  0.00 572.06 
4  12.00  0.00 78.00  0.00 34.00  0.00 56.00  0.00 536.35 
4  12.00  0.00 72.00  0.00 32.00  0.00 52.00  0.00 569.15 
4  12.00  0.00 66.00  0.00 30.00  0.00 48.00  0.00 621.08 
4  12.00  0.00 60.00  0.00 28.00  0.00 44.00  0.00 662.39 
4  12.00  0.00 54.00  0.00 26.00  0.00 40.00  0.00 659.54 
4  12.00  0.00 48.00  0.00 24.00  0.00 36.00  0.00 652.48 
4  12.00  0.00 42.00  0.00 22.00  0.00 32.00  0.00 692.65 
4  12.00  0.00 36.00  0.00 20.00  0.00 28.00  0.00 837.47 
4  12.00  0.00 30.00  0.00 18.00  0.00 24.00  0.00 1140.57 
4  12.00  0.00 24.00  0.00 16.00  0.00 20.00  0.00 1710.98 
4  12.00  0.00 18.00  0.00 14.00  0.00 16.00  0.00 2312.51 
4  14.00  0.00 92.00  0.00 40.00  0.00 66.00  0.00 632.48 
4  14.00  0.00 86.00  0.00 38.00  0.00 62.00  0.00 579.95 
4  14.00  0.00 80.00  0.00 36.00  0.00 58.00  0.00 518.26 
4  14.00  0.00 74.00  0.00 34.00  0.00 54.00  0.00 509.49 
4  14.00  0.00 68.00  0.00 32.00  0.00 50.00  0.00 561.40 
4  14.00  0.00 62.00  0.00 30.00  0.00 46.00  0.00 614.80 
4  14.00  0.00 56.00  0.00 28.00  0.00 42.00  0.00 631.71 
4  14.00  0.00 50.00  0.00 26.00  0.00 38.00  0.00 623.05 
4  14.00  0.00 44.00  0.00 24.00  0.00 34.00  0.00 632.41 
4  14.00  0.00 38.00  0.00 22.00  0.00 30.00  0.00 703.44 
4  14.00  0.00 32.00  0.00 20.00  0.00 26.00  0.00 790.95 
4  14.00  0.00 26.00  0.00 18.00  0.00 22.00  0.00 1115.54 
4  14.00  0.00 20.00  0.00 16.00  0.00 18.00  0.00 1658.49 
4  16.00  0.00 94.00  0.00 42.00  0.00 68.00  0.00 649.63 
4  16.00  0.00 88.00  0.00 40.00  0.00 64.00  0.00 595.72 
4  16.00  0.00 82.00  0.00 38.00  0.00 60.00  0.00 512.03 
4  16.00  0.00 76.00  0.00 36.00  0.00 56.00  0.00 468.86 
4  16.00  0.00 70.00  0.00 34.00  0.00 52.00  0.00 510.06 
4  16.00  0.00 64.00  0.00 32.00  0.00 48.00  0.00 553.83 
4  16.00  0.00 58.00  0.00 30.00  0.00 44.00  0.00 588.64 
4  16.00  0.00 52.00  0.00 28.00  0.00 40.00  0.00 570.20 
4  16.00  0.00 46.00  0.00 26.00  0.00 36.00  0.00 606.57 
4  16.00  0.00 40.00  0.00 24.00  0.00 32.00  0.00 646.09 
4  16.00  0.00 34.00  0.00 22.00  0.00 28.00  0.00 717.60 
4  16.00  0.00 28.00  0.00 20.00  0.00 24.00  0.00 757.18 
4  16.00  0.00 22.00  0.00 18.00  0.00 20.00  0.00 1220.28 
4  18.00  0.00 90.00  0.00 42.00  0.00 66.00  0.00 605.08 
4  18.00  0.00 84.00  0.00 40.00  0.00 62.00  0.00 536.76 
4  18.00  0.00 78.00  0.00 38.00  0.00 58.00  0.00 458.37 
4  18.00  0.00 72.00  0.00 36.00  0.00 54.00  0.00 447.97 
4  18.00  0.00 66.00  0.00 34.00  0.00 50.00  0.00 513.45 
4  18.00  0.00 60.00  0.00 32.00  0.00 46.00  0.00 550.08 
4  18.00  0.00 54.00  0.00 30.00  0.00 42.00  0.00 561.06 
4  18.00  0.00 48.00  0.00 28.00  0.00 38.00  0.00 581.98 
4  18.00  0.00 42.00  0.00 26.00  0.00 34.00  0.00 623.90 
4  18.00  0.00 36.00  0.00 24.00  0.00 30.00  0.00 715.07 
4  18.00  0.00 30.00  0.00 22.00  0.00 26.00  0.00 688.83 
4  18.00  0.00 24.00  0.00 20.00  0.00 22.00  0.00 771.56 
4  20.00  0.00 92.00  0.00 44.00  0.00 68.00  0.00 636.21 
4  20.00  0.00 86.00  0.00 42.00  0.00 64.00  0.00 563.26 
4  20.00  0.00 80.00  0.00 40.00  0.00 60.00  0.00 463.88 
4  20.00  0.00 74.00  0.00 38.00  0.00 56.00  0.00 420.24 
4  20.00  0.00 68.00  0.00 36.00  0.00 52.00  0.00 449.56 
