Name,Latitude,Longitude,EllipsoidHeight,TimeStamp, X , Y ,A
ELEC.GR1.48,48.4908424970688,7.28805473177299,719.68714,2024-09-02T13:12:10.020,6829777.14223,1016683.171832,670.946408
ELEC.GR1.47,48.4908562952054,7.28807120354798,719.609325,2024-09-02T13:11:49.710,6829778.739844,1016684.30386,670.868658
ELEC.GR1.46,48.4908709538563,7.28808737897309,719.32911,2024-09-02T13:11:33.640,6829780.431784,1016685.40883,670.588508
ELEC.GR1.45,48.4908844730277,7.28810427312442,719.248608,2024-09-02T13:11:18.360,6829782.000129,1016686.573702,670.508066
ELEC.GR1.44,48.4908982713889,7.2881207313642,719.056569,2024-09-02T13:11:02.540,6829783.597714,1016687.704728,670.316092
ELEC.GR1.43,48.4909126517454,7.28813764970639,718.937938,2024-09-02T13:10:48.240,6829785.261745,1016688.866187,670.197525
ELEC.GR1.42,48.4909266080893,7.28815473108376,718.797625,2024-09-02T13:10:34.720,6829786.879365,1016690.042233,670.057277
ELEC.GR1.41,48.4909406739351,7.28817164081999,718.599922,2024-09-02T13:10:21.330,6829788.508452,1016691.204954,669.85964
ELEC.GR1.40,48.4909547129673,7.28818818702203,718.38054,2024-09-02T13:10:06.260,6829790.133105,1016692.341014,669.640322
ELEC.GR1.39,48.4909687135211,7.28820521288423,718.196216,2024-09-02T13:09:51.610,6829791.755411,1016693.512695,669.45606
ELEC.GR1.38,48.4909823594256,7.2882223618971,717.917677,2024-09-02T13:09:35.820,6829793.338846,1016694.695602,669.177585
ELEC.GR1.37,48.4909967569892,7.28823826325266,717.656151,2024-09-02T13:09:18.430,6829795.000709,1016695.78192,668.916124
ELEC.GR1.36,48.4910107617151,7.28825494292891,717.458511,2024-09-02T13:09:04.600,6829796.622091,1016696.928033,668.718549
ELEC.GR1.35,48.4910248543472,7.28827178861983,717.194577,2024-09-02T13:08:51.240,6829798.253895,1016698.085862,668.454679
ELEC.GR1.34,48.4910386643771,7.2882888679303,717.09126,2024-09-02T13:08:37.390,6829799.855269,1016699.262633,668.351424
ELEC.GR1.33,48.4910524580062,7.28830611271767,716.898112,2024-09-02T13:08:23.430,6829801.455487,1016700.451711,668.158341
ELEC.GR1.32,48.4910664408295,7.288323132898,716.750465,2024-09-02T13:08:09.340,6829803.075804,1016701.623075,668.010759
ELEC.GR1.31,48.4910804267684,7.28833989535441,716.530166,2024-09-02T13:07:53.560,6829804.695433,1016702.775405,667.790524
ELEC.GR1.30,48.4910947153399,7.2883565112754,716.379452,2024-09-02T13:07:38.760,6829806.348066,1016703.915097,667.639876
ELEC.GR1.29,48.4911086039491,7.28837305842973,716.173602,2024-09-02T13:07:26.180,6829807.956029,1016705.052128,667.434087
ELEC.GR1.28,48.4911226756835,7.28838998756666,716.022597,2024-09-02T13:07:12.220,6829809.58585,1016706.216236,667.283147
ELEC.GR1.27,48.4911365906614,7.28840695261853,715.849897,2024-09-02T13:06:55.770,6829811.198417,1016707.383939,667.110511
ELEC.GR1.26,48.4911505689429,7.28842366281573,715.502421,2024-09-02T13:06:37.660,6829812.816988,1016708.532456,666.7631
ELEC.GR1.25,48.4911646929923,7.28843993131231,715.356756,2024-09-02T13:06:22.430,6829814.449967,1016709.647504,666.6175
ELEC.GR1.24,48.4911788186115,7.28845720417388,715.225504,2024-09-02T13:06:04.190,6829816.087149,1016710.836644,666.486312
ELEC.GR1.23,48.4911929390627,7.2884733078109,715.051639,2024-09-02T13:05:46.600,6829817.719068,1016711.939549,666.312509
