G1WS48E2.bin
         2.00
11
7
Type of measurement (0=app. resistivity,1=resistance)
0
480
 2
0
4  8.00  0.00 18.00  0.00 12.00  0.00 14.00  0.00 4429.84 
4  8.00  0.00 22.00  0.00 14.00  0.00 16.00  0.00 2112.70 
4  8.00  0.00 26.00  0.00 16.00  0.00 18.00  0.00 1724.25 
4  8.00  0.00 32.00  0.00 18.00  0.00 22.00  0.00 1099.10 
4  8.00  0.00 36.00  0.00 20.00  0.00 24.00  0.00 766.94 
4  8.00  0.00 40.00  0.00 22.00  0.00 26.00  0.00 632.21 
4  8.00  0.00 44.00  0.00 24.00  0.00 28.00  0.00 612.26 
4  8.00  0.00 50.00  0.00 26.00  0.00 32.00  0.00 637.23 
4  8.00  0.00 54.00  0.00 28.00  0.00 34.00  0.00 647.24 
4  8.00  0.00 58.00  0.00 30.00  0.00 36.00  0.00 686.26 
4  8.00  0.00 62.00  0.00 32.00  0.00 38.00  0.00 703.21 
4  8.00  0.00 68.00  0.00 34.00  0.00 42.00  0.00 671.03 
4  8.00  0.00 72.00  0.00 36.00  0.00 44.00  0.00 612.77 
4  8.00  0.00 76.00  0.00 38.00  0.00 46.00  0.00 530.22 
4  8.00  0.00 80.00  0.00 40.00  0.00 48.00  0.00 478.84 
4  8.00  0.00 86.00  0.00 42.00  0.00 52.00  0.00 410.11 
4  8.00  0.00 90.00  0.00 44.00  0.00 54.00  0.00 356.44 
4  8.00  0.00 94.00  0.00 46.00  0.00 56.00  0.00 346.55 
4  10.00  0.00 16.00  0.00 12.00  0.00 14.00  0.00 4376.03 
4  10.00  0.00 20.00  0.00 14.00  0.00 16.00  0.00 2392.52 
4  10.00  0.00 24.00  0.00 16.00  0.00 18.00  0.00 1912.28 
4  10.00  0.00 28.00  0.00 18.00  0.00 20.00  0.00 1437.07 
4  10.00  0.00 34.00  0.00 20.00  0.00 24.00  0.00 839.53 
4  10.00  0.00 38.00  0.00 22.00  0.00 26.00  0.00 677.76 
4  10.00  0.00 42.00  0.00 24.00  0.00 28.00  0.00 642.53 
4  10.00  0.00 46.00  0.00 26.00  0.00 30.00  0.00 648.87 
4  10.00  0.00 52.00  0.00 28.00  0.00 34.00  0.00 639.10 
4  10.00  0.00 56.00  0.00 30.00  0.00 36.00  0.00 682.20 
4  10.00  0.00 60.00  0.00 32.00  0.00 38.00  0.00 704.05 
4  10.00  0.00 64.00  0.00 34.00  0.00 40.00  0.00 698.63 
4  10.00  0.00 70.00  0.00 36.00  0.00 44.00  0.00 610.89 
4  10.00  0.00 74.00  0.00 38.00  0.00 46.00  0.00 535.66 
4  10.00  0.00 78.00  0.00 40.00  0.00 48.00  0.00 477.16 
4  10.00  0.00 82.00  0.00 42.00  0.00 50.00  0.00 427.17 
4  10.00  0.00 88.00  0.00 44.00  0.00 54.00  0.00 361.58 
4  10.00  0.00 92.00  0.00 46.00  0.00 56.00  0.00 373.48 
4  12.00  0.00 18.00  0.00 14.00  0.00 16.00  0.00 2303.55 
4  12.00  0.00 22.00  0.00 16.00  0.00 18.00  0.00 1881.19 
4  12.00  0.00 26.00  0.00 18.00  0.00 20.00  0.00 1448.70 
4  12.00  0.00 30.00  0.00 20.00  0.00 22.00  0.00 938.43 
4  12.00  0.00 36.00  0.00 22.00  0.00 26.00  0.00 713.49 
4  12.00  0.00 40.00  0.00 24.00  0.00 28.00  0.00 666.70 
4  12.00  0.00 44.00  0.00 26.00  0.00 30.00  0.00 656.30 
4  12.00  0.00 48.00  0.00 28.00  0.00 32.00  0.00 643.03 
4  12.00  0.00 54.00  0.00 30.00  0.00 36.00  0.00 666.78 
4  12.00  0.00 58.00  0.00 32.00  0.00 38.00  0.00 690.73 
4  12.00  0.00 62.00  0.00 34.00  0.00 40.00  0.00 696.95 
4  12.00  0.00 66.00  0.00 36.00  0.00 42.00  0.00 646.70 
4  12.00  0.00 72.00  0.00 38.00  0.00 46.00  0.00 535.28 
4  12.00  0.00 76.00  0.00 40.00  0.00 48.00  0.00 472.42 
4  12.00  0.00 80.00  0.00 42.00  0.00 50.00  0.00 420.86 
4  12.00  0.00 84.00  0.00 44.00  0.00 52.00  0.00 389.44 
4  12.00  0.00 90.00  0.00 46.00  0.00 56.00  0.00 379.87 
4  12.00  0.00 94.00  0.00 48.00  0.00 58.00  0.00 411.32 
4  14.00  0.00 20.00  0.00 16.00  0.00 18.00  0.00 1660.17 
4  14.00  0.00 24.00  0.00 18.00  0.00 20.00  0.00 1298.33 
4  14.00  0.00 28.00  0.00 20.00  0.00 22.00  0.00 860.15 
4  14.00  0.00 32.00  0.00 22.00  0.00 24.00  0.00 709.78 
4  14.00  0.00 38.00  0.00 24.00  0.00 28.00  0.00 658.03 
4  14.00  0.00 42.00  0.00 26.00  0.00 30.00  0.00 640.57 
4  14.00  0.00 46.00  0.00 28.00  0.00 32.00  0.00 620.41 
4  14.00  0.00 50.00  0.00 30.00  0.00 34.00  0.00 606.35 
4  14.00  0.00 56.00  0.00 32.00  0.00 38.00  0.00 653.88 
4  14.00  0.00 60.00  0.00 34.00  0.00 40.00  0.00 669.94 
4  14.00  0.00 64.00  0.00 36.00  0.00 42.00  0.00 626.95 
4  14.00  0.00 68.00  0.00 38.00  0.00 44.00  0.00 549.19 
4  14.00  0.00 74.00  0.00 40.00  0.00 48.00  0.00 464.54 
4  14.00  0.00 78.00  0.00 42.00  0.00 50.00  0.00 409.21 
4  14.00  0.00 82.00  0.00 44.00  0.00 52.00  0.00 382.51 
4  14.00  0.00 86.00  0.00 46.00  0.00 54.00  0.00 339.45 
4  14.00  0.00 92.00  0.00 48.00  0.00 58.00  0.00 421.96 
4  16.00  0.00 22.00  0.00 18.00  0.00 20.00  0.00 1223.15 
4  16.00  0.00 26.00  0.00 20.00  0.00 22.00  0.00 784.77 
4  16.00  0.00 30.00  0.00 22.00  0.00 24.00  0.00 673.63 
4  16.00  0.00 34.00  0.00 24.00  0.00 26.00  0.00 621.49 
4  16.00  0.00 40.00  0.00 26.00  0.00 30.00  0.00 633.49 
4  16.00  0.00 44.00  0.00 28.00  0.00 32.00  0.00 594.38 
4  16.00  0.00 48.00  0.00 30.00  0.00 34.00  0.00 576.91 
4  16.00  0.00 52.00  0.00 32.00  0.00 36.00  0.00 581.94 
4  16.00  0.00 58.00  0.00 34.00  0.00 40.00  0.00 626.45 
4  16.00  0.00 62.00  0.00 36.00  0.00 42.00  0.00 599.00 
4  16.00  0.00 66.00  0.00 38.00  0.00 44.00  0.00 530.54 
4  16.00  0.00 70.00  0.00 40.00  0.00 46.00  0.00 465.17 
4  16.00  0.00 76.00  0.00 42.00  0.00 50.00  0.00 391.51 
4  16.00  0.00 80.00  0.00 44.00  0.00 52.00  0.00 364.03 
4  16.00  0.00 84.00  0.00 46.00  0.00 54.00  0.00 327.55 
4  16.00  0.00 88.00  0.00 48.00  0.00 56.00  0.00 361.83 
