FB_TIME,FB_TIME_QLTY,OFFSET,REC_ELEV,REC_X,SRC_X
15.778975,14.482991,-11.000000,0.080000,12.000000,0.750000
14.455556,30.501986,-9.000000,0.080000,10.500000,0.750000
13.471696,4.274914,-8.000000,0.040000,9.000000,0.750000
11.503975,0.275241,-6.000000,0.020000,7.500000,0.750000
10.478723,1.298214,-5.000000,0.000000,6.000000,0.750000
8.082066,0.015496,-3.000000,0.050000,4.500000,0.750000
6.883737,96.955315,-2.000000,0.010000,3.000000,0.750000
5.810000,99.920914,0.000000,0.000000,0.000000,0.750000
5.810000,94.348816,0.000000,0.050000,1.500000,0.750000
50.049999,11.473722,-68.000000,5.520000,70.500000,2.250000
49.726471,38.873806,-66.000000,5.410000,69.000000,2.250000
49.564705,53.134693,-65.000000,5.250000,67.500000,2.250000
49.098625,36.006241,-63.000000,5.120000,66.000000,2.250000
48.342899,42.653152,-62.000000,4.950000,64.500000,2.250000
46.831451,24.577990,-60.000000,4.750000,63.000000,2.250000
46.310001,23.402580,-59.000000,4.570000,61.500000,2.250000
46.310001,26.773769,-57.000000,4.400000,60.000000,2.250000
46.310001,5.609315,-56.000000,4.250000,58.500000,2.250000
46.310001,39.321991,-54.000000,4.070000,57.000000,2.250000
46.310001,24.459587,-53.000000,3.840000,55.500000,2.250000
44.543251,40.197445,-51.000000,3.800000,54.000000,2.250000
43.439034,49.925823,-50.000000,3.660000,52.500000,2.250000
41.230595,65.767738,-48.000000,3.560000,51.000000,2.250000
40.126377,71.303551,-47.000000,3.390000,49.500000,2.250000
37.917942,84.140617,-45.000000,3.270000,48.000000,2.250000
37.307274,80.389900,-44.000000,3.100000,46.500000,2.250000
36.926811,87.685944,-42.000000,3.000000,45.000000,2.250000
36.736580,82.383926,-41.000000,2.860000,43.500000,2.250000
36.356117,73.814240,-39.000000,2.750000,42.000000,2.250000
36.165886,64.477745,-38.000000,2.650000,40.500000,2.250000
35.377678,53.023956,-36.000000,2.390000,39.000000,2.250000
34.650940,50.625103,-35.000000,2.210000,37.500000,2.250000
33.197464,48.460205,-33.000000,2.110000,36.000000,2.250000
32.470726,42.716419,-32.000000,1.990000,34.500000,2.250000
31.017248,47.683372,-30.000000,1.890000,33.000000,2.250000
30.290510,38.678082,-29.000000,1.750000,31.500000,2.250000
28.837032,35.656864,-27.000000,1.620000,30.000000,2.250000
28.124935,9.080982,-26.000000,1.450000,28.500000,2.250000
26.724699,13.737109,-24.000000,1.360000,27.000000,2.250000
26.024580,0.493040,-23.000000,1.310000,25.500000,2.250000
24.624344,3.841283,-21.000000,1.130000,24.000000,2.250000
23.924227,0.030254,-20.000000,0.920000,22.500000,2.250000
22.543032,0.055019,-18.000000,0.710000,21.000000,2.250000
22.080929,6.729831,-17.000000,0.600000,19.500000,2.250000
21.156723,5.753685,-15.000000,0.430000,18.000000,2.250000
20.694620,27.719137,-14.000000,0.310000,16.500000,2.250000
20.690001,32.478931,-12.000000,0.250000,15.000000,2.250000
20.674082,28.904926,-11.000000,0.150000,13.500000,2.250000
19.082258,17.891056,-9.000000,0.080000,12.000000,2.250000
18.286346,19.052217,-8.000000,0.080000,10.500000,2.250000
15.130322,22.830286,-6.000000,0.040000,9.000000,2.250000
13.445412,7.052978,-5.000000,0.020000,7.500000,2.250000
9.547312,27.969084,-3.000000,0.000000,6.000000,2.250000
8.088314,67.123604,-2.000000,0.050000,4.500000,2.250000
3.081000,84.927429,0.000000,0.050000,1.500000,2.250000
3.081000,65.172241,0.000000,0.010000,3.000000,2.250000
3.081000,61.950920,2.000000,0.000000,0.000000,2.250000
46.450001,87.467834,-66.000000,5.520000,70.500000,3.750000
48.052120,12.902215,-65.000000,5.410000,69.000000,3.750000
51.256367,99.250618,-63.000000,5.250000,67.500000,3.750000
52.433079,13.037400,-62.000000,5.120000,66.000000,3.750000
51.938114,25.972769,-60.000000,4.950000,64.500000,3.750000
51.690632,15.789217,-59.000000,4.750000,63.000000,3.750000
51.195667,42.690220,-57.000000,4.570000,61.500000,3.750000
50.948189,86.495842,-56.000000,4.400000,60.000000,3.750000
50.251366,51.111435,-54.000000,4.250000,58.500000,3.750000
49.846180,47.126625,-53.000000,4.070000,57.000000,3.750000
49.035812,26.928949,-51.000000,3.840000,55.500000,3.750000
48.630627,31.770155,-50.000000,3.800000,54.000000,3.750000
47.820259,43.589108,-48.000000,3.660000,52.500000,3.750000
